Quarter,State-from,State-to,Year,Avg. Fare,Month,Day
3,AL,AL,1996,219.8042553,6,1
2,AL,AL,1996,180.7351351,3,1
1,AL,AL,1996,150.106962,0,1
4,AL,AL,1997,239.5568627,9,1
2,AL,AL,1997,260.2029412,3,1
1,AL,AL,1997,258.5959184,0,1
4,AL,AR,1996,222.0692737,9,1
3,AL,AR,1996,219.4025806,6,1
2,AL,AR,1996,214.2990826,3,1
1,AL,AR,1996,221.1616107,0,1
4,AL,AR,1997,241.5025907,9,1
3,AL,AR,1997,236.2833333,6,1
2,AL,AR,1997,234.2112676,3,1
1,AL,AR,1997,241.6349398,0,1
4,AL,AR,1998,200.8444444,9,1
3,AL,AR,1998,244.1693305,6,1
2,AL,AR,1998,262.1067697,3,1
1,AL,AR,1998,275.4396287,0,1
4,AL,AR,1999,231.2664602,9,1
3,AL,AR,1999,263.2335894,6,1
2,AL,AR,1999,278.3196446,3,1
1,AL,AR,1999,262.5914286,0,1
4,AL,AR,2000,252.6194728,9,1
3,AL,AR,2000,260.3693413,6,1
2,AL,AR,2000,264.5382353,3,1
1,AL,AR,2000,266.5372753,0,1
4,AL,AR,2001,240.8,9,1
3,AL,AR,2001,241.8004933,6,1
2,AL,AR,2001,249.0461957,3,1
1,AL,AR,2001,275.6791587,0,1
4,AL,AR,2002,228.0903572,9,1
3,AL,AR,2002,256.8111301,6,1
2,AL,AR,2002,272.5799152,3,1
1,AL,AR,2002,261.5169643,0,1
4,AL,AR,2003,241.9114226,9,1
3,AL,AR,2003,261.7497396,6,1
2,AL,AR,2003,247.8172618,3,1
1,AL,AR,2003,256.5261606,0,1
4,AL,AR,2004,248.2894357,9,1
3,AL,AR,2004,264.4524538,6,1
2,AL,AR,2004,270.5603771,3,1
1,AL,AR,2004,276.01118,0,1
4,AL,AR,2005,249.8973696,9,1
3,AL,AR,2005,251.0713284,6,1
2,AL,AR,2005,223.5715193,3,1
1,AL,AR,2005,224.0035218,0,1
4,AL,AR,2006,268.6877049,9,1
3,AL,AR,2006,305.3855769,6,1
2,AL,AR,2006,311.5482605,3,1
1,AL,AR,2006,285.4410764,0,1
4,AL,AR,2007,281.6773574,9,1
3,AL,AR,2007,306.6510204,6,1
2,AL,AR,2007,311.4794166,3,1
1,AL,AR,2007,308.0719626,0,1
4,AL,AR,2008,294.7589744,9,1
3,AL,AR,2008,383.4639175,6,1
2,AL,AR,2008,384.5645161,3,1
1,AL,AR,2008,371.5923077,0,1
3,AL,AR,2009,285.1795918,6,1
2,AL,AR,2009,293.4485149,3,1
1,AL,AR,2009,266.0505051,0,1
4,AL,AR,2010,286.0762887,9,1
3,AL,AR,2010,312.4074597,6,1
4,AL,AR,2011,308.7093458,9,1
2,AL,AR,2011,329.0272727,3,1
