Quarter,State-from,State-to,Year,Passengers,Month,Day
3,AL,AL,1996,10.2173913,6,1
2,AL,AL,1996,16.26373626,3,1
1,AL,AL,1996,17.36263736,0,1
4,AL,AL,1997,11.08695652,9,1
2,AL,AL,1997,11.20879121,3,1
1,AL,AL,1997,10.88888889,0,1
4,AL,AR,1996,19.45652174,9,1
3,AL,AR,1996,16.84782609,6,1
2,AL,AR,1996,23.95604396,3,1
1,AL,AR,1996,35.60439561,0,1
4,AL,AR,1997,20.97826087,9,1
3,AL,AR,1997,32.2826087,6,1
2,AL,AR,1997,23.40659341,3,1
1,AL,AR,1997,18.44444444,0,1
4,AL,AR,1998,23.47826087,9,1
3,AL,AR,1998,33.91304348,6,1
2,AL,AR,1998,35.4945055,3,1
1,AL,AR,1998,34.88888888,0,1
4,AL,AR,1999,27.93478261,9,1
3,AL,AR,1999,30.65217391,6,1
2,AL,AR,1999,29.67032967,3,1
1,AL,AR,1999,19.44444444,0,1
4,AL,AR,2000,27.5,9,1
3,AL,AR,2000,31.08695652,6,1
2,AL,AR,2000,18.68131868,3,1
1,AL,AR,2000,27.36263736,0,1
4,AL,AR,2001,11.30434783,9,1
3,AL,AR,2001,27.06521739,6,1
2,AL,AR,2001,30,3,1
1,AL,AR,2001,40.33333333,0,1
4,AL,AR,2002,26.08695652,9,1
3,AL,AR,2002,29.67391305,6,1
2,AL,AR,2002,26.15384615,3,1
1,AL,AR,2002,12.44444444,0,1
4,AL,AR,2003,28.58695652,9,1
3,AL,AR,2003,24.34782609,6,1
2,AL,AR,2003,22.96703297,3,1
1,AL,AR,2003,25.88888889,0,1
4,AL,AR,2004,30.2173913,9,1
3,AL,AR,2004,23.04347827,6,1
2,AL,AR,2004,24.50549451,3,1
1,AL,AR,2004,26.81318682,0,1
4,AL,AR,2005,23.36956522,9,1
3,AL,AR,2005,25.86956521,6,1
2,AL,AR,2005,28.9010989,3,1
1,AL,AR,2005,28.22222222,0,1
4,AL,AR,2006,13.26086957,9,1
3,AL,AR,2006,11.30434783,6,1
2,AL,AR,2006,27.14285714,3,1
1,AL,AR,2006,20.66666667,0,1
4,AL,AR,2007,22.39130435,9,1
3,AL,AR,2007,10.65217391,6,1
2,AL,AR,2007,21.64835165,3,1
1,AL,AR,2007,11.88888889,0,1
4,AL,AR,2008,12.7173913,9,1
3,AL,AR,2008,10.54347826,6,1
2,AL,AR,2008,10.21978022,3,1
1,AL,AR,2008,11.42857143,0,1
3,AL,AR,2009,10.65217391,6,1
2,AL,AR,2009,11.0989011,3,1
1,AL,AR,2009,11,0,1
4,AL,AR,2010,10.54347826,9,1
3,AL,AR,2010,20.54347826,6,1
4,AL,AR,2011,11.63043478,9,1
2,AL,AR,2011,10.87912088,3,1
1,AL,AR,2011,10.66666667,0,1
4,AL,AR,2013,22.17391305,9,1
3,AL,AR,2013,12.39130435,6,1
4,AL,AR,2014,23.04347826,9,1
3,AL,AR,2014,24.56521739,6,1
2,AL,AR,2014,27.03296704,3,1
1,AL,AR,2014,25,0,1
4,AL,AR,2015,10.10869565,9,1
3,AL,AR,2015,27.17391304,6,1
2,AL,AR,2015,23.18681319,3,1
